127	58.871	60.981	62.447	63.913	66.022
128	58.935	61.046	62.514	63.981	66.092
129	58.999	61.112	62.58	64.048	66.161
130	59.061	61.176	62.646	64.116	66.231
131	59.124	61.241	62.712	64.183	66.299
132	59.187	61.305	62.777	64.249	66.368
133	59.249	61.369	62.842	64.316	66.435
134	59.311	61.433	62.907	64.381	66.503
135	59.372	61.495	62.971	64.447	66.571
136	59.433	61.558	63.035	64.512	66.637
137	59.495	61.621	63.099	64.577	66.704
138	59.555	61.683	63.163	64.642	66.77
139	59.616	61.745	63.226	64.706	66.835
140	59.675	61.807	63.288	64.77	66.902
141	59.735	61.868	63.351	64.834	66.967
142	59.795	61.929	63.413	64.897	67.031
143	59.853	61.99	63.475	64.96	67.097
144	59.912	62.05	63.537	65.023	67.161
145	59.971	62.111	63.598	65.085	67.225
146	60.029	62.17	63.659	65.147	67.289
147	60.087	62.23	63.72	65.209	67.352
148	60.145	62.289	63.78	65.271	67.415
149	60.202	62.348	63.84	65.332	67.479
150	60.259	62.407	63.9	65.393	67.541
151	60.316	62.466	63.96	65.454	67.603
152	60.372	62.524	64.019	65.514	67.666
153	60.429	62.582	64.078	65.574	67.727
154	60.486	62.64	64.137	65.634	67.788
155	60.541	62.697	64.196	65.694	67.85
156	60.597	62.754	64.254	65.753	67.911
157	60.652	62.811	64.312	65.813	67.972
158	60.708	62.868	64.37	65.872	68.032
159	60.762	62.924	64.428	65.931	68.093
160	60.817	62.981	64.485	65.989	68.153
161	60.872	63.037	64.542	66.047	68.212
162	60.926	63.093	64.599	66.105	68.272
163	60.98	63.149	64.656	66.163	68.331
164	61.034	63.204	64.712	66.221	68.391
165	61.088	63.259	64.769	66.278	68.45
166	61.141	63.314	64.825	66.336	68.509
167	61.195	63.369	64.881	66.392	68.567
168	61.247	63.424	64.937	66.449	68.626
169	61.301	63.478	64.992	66.506	68.683
170	61.353	63.532	65.047	66.562	68.742
171	61.405	63.586	65.103	66.619	68.8
172	61.458	63.641	65.158	66.675	68.857
173	61.51	63.694	65.212	66.731	68.915
174	61.562	63.748	65.267	66.786	68.972
175	61.614	63.801	65.321	66.842	69.029
176	61.666	63.854	65.376	66.897	69.086
177	61.717	63.907	65.43	66.952	69.143
178	61.768	63.96	65.484	67.007	69.2
179	61.819	64.013	65.538	67.062	69.256
180	61.87	64.065	65.591	67.117	69.312
181	61.92	64.117	65.645	67.172	69.369
182	61.972	64.17	65.698	67.226	69.424
183	62.022	64.222	65.751	67.28	69.48
184	62.073	64.274	65.804	67.334	69.535
185	62.123	64.326	65.857	67.388	69.591
186	62.173	64.377	65.91	67.442	69.646
187	62.222	64.429	65.962	67.496	69.702
188	62.273	64.48	66.015	67.549	69.756
189	62.322	64.531	66.067	67.602	69.812
190	62.371	64.582	66.119	67.656	69.867
191	62.421	64.633	66.171	67.708	69.92
192	62.47	64.684	66.223	67.762	69.975
193	62.519	64.735	66.275	67.814	70.03
194	62.569	64.785	66.326	67.867	70.083
195	62.617	64.836	66.378	67.92	70.138
196	62.666	64.886	66.429	67.972	70.192
197	62.714	64.936	66.48	68.024	70.246
198	62.762	64.986	66.531	68.077	70.3
199	62.812	65.036	66.582	68.129	70.353
200	62.86	65.086	66.633	68.18	70.407
201	62.907	65.135	66.684	68.232	70.46
202	62.955	65.185	66.735	68.284	70.514
203	63.004	65.235	66.785	68.335	70.566
204	63.051	65.284	66.835	68.387	70.619
205	63.099	65.333	66.886	68.439	70.672
206	63.146	65.382	66.936	68.49	70.726
207	63.193	65.431	66.986	68.541	70.778
208	63.241	65.48	67.036	68.592	70.831
209	63.289	65.529	67.086	68.643	70.883
210	63.336	65.577	67.136	68.694	70.935
211	63.383	65.626	67.185	68.745	70.988
212	63.429	65.674	67.235	68.795	71.04
213	63.476	65.723	67.284	68.846	71.092
214	63.522	65.771	67.334	68.896	71.145
215	63.569	65.819	67.383	68.947	71.197
216	63.615	65.867	67.432	68.997	71.249
217	63.663	65.915	67.481	69.047	71.299
218	63.709	65.963	67.53	69.097	71.351
219	63.755	66.011	67.579	69.147	71.403
220	63.801	66.059	67.628	69.197	71.454
221	63.847	66.106	67.676	69.247	71.506
222	63.893	66.154	67.725	69.296	71.557
223	63.939	66.201	67.774	69.346	71.608
224	63.984	66.248	67.822	69.396	71.659
225	64.03	66.296	67.87	69.445	71.711
226	64.075	66.343	67.919	69.494	71.762
227	64.121	66.39	67.967	69.544	71.812
228	64.166	66.437	68.015	69.593	71.863
229	64.212	66.484	68.063	69.642	71.914
230	64.257	66.53	68.111	69.691	71.965
231	64.302	66.577	68.159	69.74	72.015
232	64.347	66.624	68.206	69.789	72.066
233	64.392	66.67	68.254	69.838	72.116
234	64.437	66.717	68.302	69.886	72.166
235	64.482	66.763	68.349	69.935	72.216
236	64.526	66.81	68.397	69.983	72.267
237	64.571	66.856	68.444	70.032	72.317
238	64.616	66.902	68.491	70.08	72.367
239	64.66	66.948	68.538	70.129	72.416
240	64.705	66.994	68.586	70.177	72.466
241	64.749	67.04	68.633	70.225	72.516
242	64.793	67.086	68.68	70.273	72.566
243	64.838	67.132	68.726	70.321	72.615
244	64.882	67.177	68.773	70.369	72.665
245	64.926	67.223	68.82	70.417	72.714
246	64.97	67.269	68.867	70.464	72.763
247	65.014	67.314	68.913	70.512	72.813
248	65.058	67.36	68.96	70.56	72.862
249	65.102	67.405	69.006	70.607	72.911
250	65.145	67.451	69.053	70.655	72.96
251	65.188	67.495	69.099	70.703	73.01
252	65.232	67.54	69.145	70.75	73.059
253	65.275	67.586	69.191	70.797	73.108
254	65.319	67.631	69.238	70.845	73.156
255	65.362	67.676	69.284	70.892	73.205
256	65.406	67.721	69.33	70.939	73.254
257	65.449	67.765	69.376	70.986	73.302
258	65.492	67.81	69.421	71.033	73.351
259	65.535	67.855	69.467	71.079	73.399
260	65.577	67.899	69.513	71.127	73.448
261	65.62	67.944	69.559	71.173	73.497
262	65.663	67.988	69.604	71.22	73.545
263	65.706	68.033	69.65	71.267	73.593
264	65.749	68.077	69.695	71.313	73.641
265	65.792	68.121	69.741	71.36	73.689
266	65.834	68.165	69.786	71.406	73.738
267	65.876	68.209	69.831	71.453	73.786
268	65.919	68.254	69.876	71.499	73.834
269	65.962	68.298	69.922	71.545	73.881
270	66.004	68.342	69.967	71.591	73.929
271	66.046	68.385	70.012	71.638	73.978
272	66.088	68.429	70.057	71.684	74.025
273	66.13	68.473	70.102	71.73	74.073
274	66.173	68.517	70.146	71.776	74.12
275	66.215	68.561	70.191	71.822	74.167
276	66.256	68.604	70.236	71.868	74.216
277	66.298	68.647	70.281	71.914	74.263
278	66.34	68.691	70.325	71.959	74.31
279	66.382	68.735	70.37	72.005	74.357
280	66.424	68.778	70.414	72.05	74.404
281	66.465	68.821	70.459	72.096	74.452
282	66.507	68.864	70.503	72.142	74.499
283	66.549	68.908	70.547	72.187	74.546
284	66.59	68.951	70.592	72.232	74.593
285	66.631	68.994	70.636	72.278	74.641
286	66.673	69.037	70.68	72.323	74.687
287	66.714	69.08	70.724	72.368	74.734
288	66.755	69.122	70.768	72.414	74.782
289	66.796	69.165	70.812	72.459	74.828
290	66.838	69.208	70.856	72.504	74.875
291	66.879	69.251	70.9	72.549	74.921
292	66.919	69.294	70.944	72.594	74.969
293	66.96	69.336	70.988	72.639	75.015
294	67.002	69.379	71.031	72.684	75.061
295	67.042	69.421	71.075	72.729	75.108
